City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuuk,64.1835,-51.7216,27.21,68,100,2.3,2.3,1701840057
1,mafinga,-7.25,35.0667,71.4,81,100,1.48,1.48,1701840123
2,waitangi,-43.9535,-176.5597,56.82,80,100,10.0,10.0,1701840124
3,inari,68.906,27.0288,5.2,98,98,1.77,1.77,1701840124
4,yellowknife,62.456,-114.3525,24.42,95,100,4.61,4.61,1701840124
5,adamstown,-25.066,-130.1015,72.93,83,100,13.76,13.76,1701840125
6,selfoss,63.9331,-20.9971,27.21,69,100,11.39,11.39,1701840125
7,ribeira grande,38.5167,-28.7,67.77,92,100,27.0,27.0,1701839560
8,la passe,45.5549,-0.8967,32.23,82,82,5.59,5.59,1701839563
9,gursarai,25.6148,79.1788,69.06,49,96,5.44,5.44,1701840126
10,blackmans bay,-43.0167,147.3167,72.52,33,15,4.81,4.81,1701839568
11,bethel,41.3712,-73.414,37.22,74,100,3.71,3.71,1701839423
12,thompson,55.7435,-97.8558,23.16,93,100,6.91,6.91,1701839746
13,grytviken,-54.2811,-36.5092,34.83,77,100,22.46,22.46,1701840128
14,anadyr,64.75,177.4833,-3.5,83,100,15.66,15.66,1701840128
15,taulaga,-11.0553,-171.0883,82.49,80,99,14.83,14.83,1701840129
16,vila velha,-20.3297,-40.2925,76.95,90,0,5.75,5.75,1701840129
17,castelo do piaui,-5.3222,-41.5525,76.75,74,64,0.78,0.78,1701840130
18,petropavlovsk-kamchatsky,53.0452,158.6483,25.39,87,0,17.0,17.0,1701840130
19,wailua homesteads,22.0669,-159.378,77.43,91,100,12.66,12.66,1701839586
20,afif,23.9065,42.9172,60.62,29,13,9.66,9.66,1701840131
21,saint-louis,16.3333,-15.0,72.91,22,30,8.68,8.68,1701839646
22,magadan,59.5667,150.8,-1.66,70,99,11.43,11.43,1701839752
23,constantia,44.1833,28.65,41.7,82,100,14.7,14.7,1701839605
24,severnoye,56.3491,78.3619,5.99,95,100,11.01,11.01,1701840132
25,college,64.8569,-147.8028,3.52,81,100,3.44,3.44,1701840132
26,edinburgh of the seven seas,-37.0676,-12.3116,54.95,66,60,21.92,21.92,1701839573
27,marsh harbour,26.5412,-77.0636,75.04,83,100,12.75,12.75,1701839575
28,usinsk,65.9939,57.5281,-29.92,99,21,3.0,3.0,1701840133
29,al jawf,29.5,38.75,60.04,72,77,8.12,8.12,1701839581
30,hermanus,-34.4187,19.2345,64.56,76,47,20.15,20.15,1701840134
31,arno,60.1167,18.6333,24.78,96,62,3.65,3.65,1701840135
32,marco island,25.9363,-81.7157,66.2,69,0,8.05,8.05,1701840135
33,ushuaia,-54.8,-68.3,42.46,81,75,37.98,37.98,1701840081
34,dudinka,69.4058,86.1778,-33.32,98,24,5.01,5.01,1701839631
35,laguna,38.421,-121.4238,57.09,89,0,0.0,0.0,1701839585
36,dongola,19.1667,30.4833,64.99,17,51,12.33,12.33,1701840137
37,ocean shores,46.9737,-124.1563,50.29,99,100,0.0,0.0,1701840137
38,palasa,18.7667,84.4167,69.85,88,100,9.26,9.26,1701840137
39,iqaluit,63.7506,-68.5145,8.33,84,0,6.91,6.91,1701840138
40,namibe,-15.1961,12.1522,74.59,87,98,2.51,2.51,1701839724
41,avarua,-21.2078,-159.775,77.05,83,75,13.8,13.8,1701839586
42,port-aux-francais,-49.35,70.2167,43.07,89,100,24.7,24.7,1701840139
43,praia da vitoria,38.7333,-27.0667,65.75,96,100,29.17,29.17,1701839690
44,punta arenas,-53.15,-70.9167,44.71,61,0,43.73,43.73,1701839404
45,nova sintra,14.8667,-24.7167,71.83,70,100,12.5,12.5,1701839589
46,chibougamau,49.9168,-74.3659,4.62,85,100,3.44,3.44,1701840141
47,bredasdorp,-34.5322,20.0403,64.72,72,44,18.21,18.21,1701839568
48,firuzabad,28.8438,52.5707,60.04,29,4,2.89,2.89,1701840142
49,singkil,-7.9855,111.4161,91.08,52,85,3.62,3.62,1701839675
50,gamba,-2.65,10.0,73.36,91,98,4.88,4.88,1701840143
51,veinticinco de mayo,-35.4323,-60.1727,61.99,100,100,1.01,1.01,1701840144
52,bangassou,4.7413,22.8184,70.7,91,62,1.81,1.81,1701840144
53,floro,61.5996,5.0328,31.96,69,40,11.5,11.5,1701839706
54,changling,44.2653,124.0005,21.72,62,10,14.07,14.07,1701840145
55,pacific grove,36.6177,-121.9166,56.55,81,0,5.75,5.75,1701839573
56,sisimiut,66.9395,-53.6735,12.45,72,31,11.41,11.41,1701840146
57,yima,34.7381,111.8839,55.87,20,0,14.9,14.9,1701840146
58,invercargill,-46.4,168.35,57.69,69,98,7.29,7.29,1701839969
59,kerikeri,-35.2268,173.9474,69.91,79,83,4.0,4.0,1701839401
60,albany,42.6001,-73.9662,31.64,90,100,1.01,1.01,1701839412
61,kittila,67.6647,24.8936,6.94,85,100,4.61,4.61,1701840148
62,pedregal,8.3667,-82.4333,80.2,82,33,4.83,4.83,1701840149
63,nikolayevsk-on-amure,53.1406,140.73,22.68,84,100,0.76,0.76,1701839428
64,papatowai,-46.5619,169.4708,58.71,77,99,4.76,4.76,1701839575
65,anna regina,7.2644,-58.5077,76.68,90,16,5.95,5.95,1701840150
66,port mathurin,-19.6833,63.4167,78.71,81,95,11.05,11.05,1701839558
67,lihue,21.9789,-159.3672,78.04,89,100,12.66,12.66,1701839561
68,olonkinbyen,70.9221,-8.7187,26.28,76,99,12.48,12.48,1701839562
69,fale old settlement,-9.3852,-171.2468,84.43,73,87,8.84,8.84,1701839615
70,axim,4.8699,-2.2405,78.3,84,18,4.32,4.32,1701839673
71,tatarka,44.9589,41.9517,28.22,83,100,20.0,20.0,1701840152
72,igarka,67.4667,86.5833,-34.38,92,6,6.67,6.67,1701839626
73,fada,9.5667,8.3,66.58,22,6,6.15,6.15,1701840153
74,west island,-12.1568,96.8225,84.18,79,75,13.8,13.8,1701839557
75,ankazoabo,-22.2833,44.5167,86.59,29,53,3.62,3.62,1701840154
76,terbuny,52.1389,38.2789,2.21,98,72,2.42,2.42,1701840155
77,papao,-17.75,-149.55,76.68,79,100,9.1,9.1,1701839751
78,nadi,-17.8,177.4167,78.8,89,75,8.05,8.05,1701840155
79,voorthuizen,52.1867,5.6056,39.83,96,100,4.79,4.79,1701840156
80,whitehorse,60.7161,-135.0538,20.03,94,98,7.18,7.18,1701839323
81,sveti nikole,41.8696,21.9527,38.25,91,100,1.57,1.57,1701840157
82,tiksi,71.6872,128.8694,-4.76,92,100,15.08,15.08,1701839597
83,cestos city,5.46,-9.5828,78.75,83,11,7.29,7.29,1701840157
84,mutum biyu,8.6333,10.7667,71.96,23,1,3.13,3.13,1701840158
85,chemax,20.65,-87.9333,71.35,100,69,2.71,2.71,1701840158
86,las heras,-46.5419,-68.9359,47.46,62,6,6.15,6.15,1701840159
87,umiray,15.2206,121.4111,83.12,76,34,4.45,4.45,1701840159
88,buka,40.8108,69.1986,57.07,26,36,1.72,1.72,1701840159
89,longyearbyen,78.2186,15.6401,24.64,68,20,21.85,21.85,1701839572
90,labytnangi,66.6572,66.4183,-15.65,99,97,1.52,1.52,1701840066
91,fort st. john,56.2499,-120.8529,36.46,65,9,11.95,11.95,1701839701
92,kili,5.6439,169.1211,82.62,80,90,20.09,20.09,1701840161
93,kyren,51.6828,102.1408,10.94,85,99,1.99,1.99,1701840161
94,isafjordur,66.0755,-23.124,27.34,82,18,7.0,7.0,1701839563
95,kodiak,57.79,-152.4072,29.71,55,0,40.29,40.29,1701839537
96,sidi bennour,32.6524,-8.4277,60.26,81,61,13.35,13.35,1701840162
97,kirensk,57.7853,108.1119,-29.04,97,65,3.0,3.0,1701840162
98,yuzhno-kurilsk,44.0306,145.8556,45.37,84,76,5.3,5.3,1701839676
99,kenai,60.5544,-151.2583,23.14,94,100,0.0,0.0,1701840163
100,strezhevoy,60.7333,77.5889,-15.03,88,14,10.0,10.0,1701840163
101,binhe,32.6883,112.8275,62.13,18,0,6.24,6.24,1701840163
102,puerto baquerizo moreno,-0.9,-89.6,74.77,83,54,9.66,9.66,1701840142
103,qaqortoq,60.7167,-46.0333,29.39,68,100,5.41,5.41,1701839630
104,puerto natales,-51.7236,-72.4875,38.95,80,50,7.81,7.81,1701840164
105,lamu,-2.2717,40.902,77.22,83,100,7.2,7.2,1701840165
106,maintirano,-18.0667,44.0167,84.81,60,95,6.82,6.82,1701840165
107,dolores,-36.3132,-57.6792,62.73,97,100,7.27,7.27,1701839727
108,ilulissat,69.2167,-51.1,10.42,52,7,3.44,3.44,1701839581
109,holladay,40.6688,-111.8247,46.0,76,0,6.91,6.91,1701840166
110,hawaiian paradise park,19.5933,-154.9731,72.03,93,0,3.44,3.44,1701839574
111,san patricio,28.017,-97.5169,66.06,76,100,5.95,5.95,1701840166
112,maun,-19.9833,23.4167,83.08,36,100,6.85,6.85,1701840166
113,dunedin,-45.8742,170.5036,63.81,72,66,3.0,3.0,1701840167
114,lashio,22.9333,97.75,76.42,49,94,1.57,1.57,1701839694
115,mathba,22.2855,89.9629,71.56,71,100,11.23,11.23,1701840167
116,haiku-pauwela,20.9219,-156.3051,75.04,73,40,18.41,18.41,1701839746
117,lijiang,26.8688,100.2207,53.98,50,100,4.03,4.03,1701840168
118,bamboo flat,11.7,92.7167,77.09,94,100,8.05,8.05,1701840168
119,utrik,11.2278,169.8474,81.52,77,70,18.79,18.79,1701839709
120,ust-tsilma,65.441,52.1498,-28.39,100,84,3.0,3.0,1701840168
121,sinabang,2.4803,96.3801,83.88,71,98,2.84,2.84,1701839580
122,maych'ew,12.7875,39.5422,57.58,49,7,2.95,2.95,1701840169
123,ishigaki,24.3448,124.1572,71.73,88,75,10.36,10.36,1701840169
124,east london,-33.0153,27.9116,65.28,74,100,13.4,13.4,1701839575
125,mogocha,53.7333,119.7667,-0.76,68,100,9.71,9.71,1701840170
126,anloga,5.7947,0.8973,81.1,79,8,7.99,7.99,1701840170
127,zharkent,44.1628,80.0,48.76,46,90,2.39,2.39,1701840170
128,coquimbo,-29.9533,-71.3436,58.77,76,0,3.67,3.67,1701839363
129,puerto ayora,-0.7393,-90.3518,75.54,95,57,5.99,5.99,1701839576
130,dayrut,27.556,30.8076,57.94,56,1,5.48,5.48,1701840171
131,beeville,28.4008,-97.7483,55.58,88,0,4.61,4.61,1701840171
132,port-gentil,-0.7193,8.7815,78.37,80,100,4.88,4.88,1701840172
133,natal,-5.795,-35.2094,77.22,83,20,4.61,4.61,1701840172
134,lebu,-37.6167,-73.65,52.92,89,76,9.98,9.98,1701840172
135,kwali,8.8672,7.005,69.69,33,1,1.59,1.59,1701840172
136,tidjikja,18.5564,-11.4271,67.75,28,59,10.51,10.51,1701840142
137,thunder bay,48.4001,-89.3168,26.58,80,40,3.44,3.44,1701840173
138,nasirabad,26.3,74.7333,68.79,45,0,7.34,7.34,1701840173
139,kapa'a,22.0752,-159.319,78.78,91,100,12.66,12.66,1701839617
140,iskateley,67.6803,53.1512,-26.99,99,53,4.0,4.0,1701840175
141,lompoc,34.6391,-120.4579,57.69,77,0,6.91,6.91,1701839673
142,stanley,54.868,-1.6985,30.78,97,75,2.3,2.3,1701840175
143,songjianghe,42.1859,127.479,29.66,95,100,8.23,8.23,1701840175
144,xinyuan,37.3,99.0,27.45,24,0,15.95,15.95,1701840176
145,uturoa,-16.7333,-151.4333,75.18,89,100,12.46,12.46,1701839683
146,taroa,8.7058,171.2275,82.26,80,51,21.05,21.05,1701840076
147,st. john's,47.5649,-52.7093,30.97,92,100,8.05,8.05,1701840170
148,luanda,-8.8368,13.2343,77.0,78,20,3.44,3.44,1701839904
149,wad az zaki,14.4619,32.2065,73.69,23,65,13.49,13.49,1701840177
150,heishan,41.6892,122.1128,35.85,30,2,12.86,12.86,1701840177
151,ciudad bolivar,8.1222,-63.5497,77.0,76,43,11.43,11.43,1701839592
152,ulsteinvik,62.3432,5.8487,30.76,61,100,7.0,7.0,1701839755
153,el granada,37.5027,-122.4694,59.79,87,75,4.61,4.61,1701839564
154,dryden,49.7833,-92.7503,21.49,86,100,9.22,9.22,1701840178
155,kone,-21.0595,164.8658,82.85,59,99,9.51,9.51,1701839621
156,fort bragg,35.139,-79.006,45.82,81,100,4.61,4.61,1701839623
157,pitimbu,-7.4706,-34.8086,77.59,77,7,10.71,10.71,1701840179
158,muynoq,43.7683,59.0214,39.65,62,84,15.9,15.9,1701840179
159,fisterra,42.9049,-9.2629,53.06,72,83,14.94,14.94,1701840179
160,margaret river,-33.95,115.0667,72.75,49,2,17.94,17.94,1701840179
161,saint-philippe,-21.3585,55.7679,81.1,70,3,6.85,6.85,1701839588
162,nar'yan-mar,67.6713,53.087,-26.9,99,52,4.0,4.0,1701840180
163,gaigeturi,33.4644,126.3183,62.65,55,75,16.11,16.11,1701840180
164,aasiaat,68.7098,-52.8699,1.85,86,20,12.1,12.1,1701840180
165,grossenhain,51.2833,13.55,36.59,97,100,8.39,8.39,1701840181
166,tazovsky,67.4667,78.7,-39.14,100,51,3.91,3.91,1701839583
167,soe,-9.8607,124.284,88.95,41,94,9.26,9.26,1701839687
168,lenoir,35.2335,-77.6497,44.71,100,0,0.0,0.0,1701840182
169,klyuchi,52.2667,79.1667,39.42,83,100,23.64,23.64,1701840182
170,al artawiyah,26.5053,45.3444,60.35,26,6,7.96,7.96,1701840183
171,gao,16.6362,1.637,70.75,16,0,10.78,10.78,1701840184
172,barysaw,54.2312,28.5049,21.49,100,99,5.5,5.5,1701840184
173,ostersund,63.1792,14.6357,2.61,84,100,0.0,0.0,1701839639
174,noumea,-22.2763,166.4572,84.18,68,73,18.61,18.61,1701839887
175,zhangjiakou shi xuanhua qu,40.6103,115.0447,39.04,29,6,15.7,15.7,1701840185
176,chapada dos guimaraes,-15.4606,-55.7497,69.46,77,87,1.99,1.99,1701840186
177,kainantu,-6.2887,145.8655,75.97,62,96,0.45,0.45,1701840186
178,minas de marcona,-15.2119,-75.1103,57.92,85,83,9.73,9.73,1701839591
179,mohammedia,33.7066,-7.3944,62.92,100,100,18.41,18.41,1701840187
180,alexandria,31.2156,29.9553,66.11,66,7,10.0,10.0,1701840188
181,yelizovo,53.1873,158.3805,24.94,39,0,13.42,13.42,1701839693
182,arraial do cabo,-22.9661,-42.0278,74.46,94,42,14.52,14.52,1701839446
183,sunchales,-30.944,-61.5615,70.05,96,96,3.98,3.98,1701840188
184,nabire,-3.3667,135.4833,86.85,62,33,5.55,5.55,1701840189
185,luganville,-15.5333,167.1667,77.14,93,100,5.59,5.59,1701839672
186,ceeldheer,3.8488,47.1806,79.9,65,95,16.73,16.73,1701840190
187,ngaoundere,7.3167,13.5833,67.69,33,52,2.37,2.37,1701840190
188,fort mcmurray,56.7268,-111.381,40.59,70,0,8.05,8.05,1701840190
189,daru,-9.0763,143.2092,86.56,60,84,11.52,11.52,1701839659
190,coahuayana de hidalgo,18.7,-103.6583,76.19,63,100,4.0,4.0,1701840191
191,general conesa,-40.1,-64.4333,60.67,74,70,16.84,16.84,1701840192
192,borgarnes,64.5383,-21.9206,33.85,73,71,8.77,8.77,1701840192
193,palmer,42.1584,-72.3287,34.63,74,100,0.0,0.0,1701839994
194,nago,26.5881,127.9761,72.45,56,38,4.9,4.9,1701839740
195,kuanda,56.3161,116.0806,-12.6,82,65,4.36,4.36,1701840193
196,nemuro,43.3236,145.575,46.65,82,51,3.2,3.2,1701839416
197,barclayville,4.6797,-8.2339,76.62,88,4,4.23,4.23,1701840194
198,akureyri,65.6835,-18.0878,14.23,82,4,4.97,4.97,1701839602
199,flying fish cove,-10.4217,105.6791,83.88,74,75,9.22,9.22,1701840195
200,bardsir,29.9227,56.5743,51.55,12,0,3.04,3.04,1701840195
201,badger,64.8,-147.5333,3.45,83,100,3.44,3.44,1701840195
202,new holland,40.1018,-76.0852,37.53,88,75,4.61,4.61,1701840196
203,clarksburg,39.2807,-80.3445,36.3,97,100,0.0,0.0,1701840072
204,apple valley,34.5008,-117.1859,61.86,49,0,3.38,3.38,1701840041
205,larache,35.1932,-6.1557,60.3,89,75,17.49,17.49,1701840197
206,hami,42.8,93.45,40.51,34,7,4.14,4.14,1701839697
207,puerto deseado,-47.7503,-65.8938,46.92,53,0,14.88,14.88,1701839638
208,ngereklmadel,7.4883,134.4856,87.89,70,75,8.05,8.05,1701840198
209,hammerfest,70.6634,23.6821,16.25,73,55,13.8,13.8,1701839615
210,starchiojd,45.3167,26.1833,37.4,91,100,2.8,2.8,1701840199
211,jamestown,42.097,-79.2353,32.02,96,100,1.01,1.01,1701839996
212,vrangel',42.7297,133.0839,39.18,84,100,8.75,8.75,1701840200
213,bilibino,68.0546,166.4372,-23.55,99,100,3.89,3.89,1701840072
214,alofi,-19.0595,-169.9187,80.49,78,77,12.66,12.66,1701840201
215,washington,47.5001,-120.5015,37.74,93,100,1.81,1.81,1701839992
216,umm ruwaba,12.9061,31.2158,71.22,26,40,8.5,8.5,1701840201
217,moissala,8.3404,17.7663,76.86,48,25,1.34,1.34,1701840202
218,georgetown,5.4112,100.3354,89.94,64,20,4.61,4.61,1701840202
219,weno,7.4515,151.8468,84.15,79,100,6.91,6.91,1701840202
220,atafu village,-8.5421,-172.5159,84.67,71,95,8.23,8.23,1701840203
221,sitka,57.0531,-135.33,44.49,76,100,18.41,18.41,1701839693
222,kant,27.8,79.8,72.34,41,0,4.34,4.34,1701840203
223,nova era,-19.75,-43.0375,68.14,98,38,2.93,2.93,1701840204
224,tlacotepec,20.0667,-97.8667,58.14,98,100,1.43,1.43,1701840204
225,isfahan,32.6572,51.6776,33.44,21,37,0.63,0.63,1701840205
226,aparri,18.3333,121.6167,84.29,72,17,2.98,2.98,1701840205
227,vila franca do campo,37.7167,-25.4333,66.61,99,99,19.86,19.86,1701839757
228,vadso,70.0744,29.7487,17.76,73,20,11.5,11.5,1701839667
229,derbent,42.0678,48.2899,45.9,88,100,12.37,12.37,1701840206
230,new norfolk,-42.7826,147.0587,73.71,27,6,8.14,8.14,1701839675
231,port elizabeth,-33.918,25.5701,65.32,74,100,10.36,10.36,1701840115
232,hithadhoo,-0.6,73.0833,82.38,78,100,10.36,10.36,1701840207
233,keflavik,64.0049,-22.5624,33.71,74,0,23.02,23.02,1701839674
234,ridgecrest,35.6225,-117.6709,54.43,49,0,9.22,9.22,1701840208
235,hasaki,35.7333,140.8333,61.29,74,93,16.26,16.26,1701839378
236,merizo village,13.2658,144.6691,88.36,85,59,11.88,11.88,1701840208
237,nierstein,49.8753,8.3467,41.31,96,75,0.0,0.0,1701840209
238,urzhar,47.093,81.6294,41.09,47,100,2.93,2.93,1701840209
239,kudahuvadhoo,2.6708,72.8944,82.24,77,95,8.99,8.99,1701840210
240,sanya,18.2431,109.505,82.56,61,75,6.71,6.71,1701840211
241,pingnan,23.5543,110.3976,65.52,79,100,4.21,4.21,1701840211
242,keren,15.7778,38.4581,69.39,54,64,3.62,3.62,1701840211
243,la libertad,-2.2333,-80.9,72.99,83,99,10.92,10.92,1701840212
244,kidal,18.4411,1.4078,70.65,15,0,8.1,8.1,1701840212
245,cabo san lucas,22.8909,-109.9124,75.51,72,78,1.01,1.01,1701840212
246,hinton,53.4001,-117.5857,27.07,93,16,6.02,6.02,1701840213
247,kavaratti,10.5669,72.642,83.21,70,100,6.69,6.69,1701840213
248,vorgashor,67.5833,63.95,-18.45,93,64,2.84,2.84,1701840213
249,las palmas,28.4204,-14.0131,65.19,77,0,8.05,8.05,1701840214
250,hadibu,12.65,54.0333,79.12,53,52,18.23,18.23,1701839658
251,kiunga,-6.1219,141.2906,87.49,60,100,4.03,4.03,1701839751
252,nelson bay,-32.7167,152.15,77.05,72,1,8.01,8.01,1701839618
253,kas,36.2018,29.6377,60.04,79,93,2.95,2.95,1701840215
254,london,51.5085,-0.1257,39.49,91,24,3.44,3.44,1701840079
255,huadian,42.9633,126.7478,31.3,75,100,9.93,9.93,1701840216
256,rincon,32.296,-81.2354,51.84,75,40,9.22,9.22,1701840217
257,maisi,43.0395,41.2621,48.87,68,100,3.0,3.0,1701840217
258,timiryazevskoye,56.49,84.8769,4.08,83,100,10.74,10.74,1701840218
259,nagqu,31.5,92.0,17.06,46,75,3.13,3.13,1701839668
260,brokopondo,4.75,-55.1667,75.83,91,48,5.1,5.1,1701840218
261,makassar,-5.14,119.4221,87.85,74,40,13.8,13.8,1701840219
262,alice springs,-23.7,133.8833,105.35,9,0,5.75,5.75,1701840219
263,solwezi,-12.1688,26.3894,65.97,76,26,2.75,2.75,1701840219
264,udachny,66.4167,112.4,-14.93,97,100,7.0,7.0,1701840220
265,payakumbuh,-0.2202,100.6308,75.54,92,99,1.3,1.3,1701840220
266,huarmey,-10.0681,-78.1522,67.6,87,100,8.19,8.19,1701840220
267,mount gambier,-37.8333,140.7667,71.08,31,78,9.19,9.19,1701840221
268,brisas de zicatela,15.8369,-97.0419,79.32,78,5,2.82,2.82,1701839704
269,luderitz,-26.6481,15.1594,61.99,73,17,12.93,12.93,1701840222
270,susuman,62.7833,148.1667,-57.01,99,75,1.01,1.01,1701840222
271,broken hill,-31.95,141.4333,102.67,13,4,8.28,8.28,1701840132
272,palmas,-10.2128,-48.3603,76.87,83,0,4.61,4.61,1701840223
273,willemstad,12.1084,-68.9335,80.51,83,20,11.5,11.5,1701840223
274,vuktyl,63.8567,57.3094,-24.9,99,6,1.99,1.99,1701840223
275,urangan,-25.3,152.9,86.2,60,0,7.0,7.0,1701840224
276,ust'-ilimsk,58.0006,102.6619,-26.55,100,19,3.53,3.53,1701840224
277,kotel'nikovo,47.6317,43.1461,23.83,86,98,9.78,9.78,1701840224
278,waingapu,-9.6567,120.2641,88.92,61,36,9.55,9.55,1701839665
279,mejit,10.2753,170.8646,81.84,80,72,19.77,19.77,1701839632
280,beaune,47.0833,4.75,35.24,97,100,4.38,4.38,1701840225
281,byron bay,-28.65,153.6167,90.72,59,0,10.85,10.85,1701840226
282,albertina,-22.2008,-46.6158,64.85,92,97,3.44,3.44,1701840226
283,mount isa,-20.7333,139.5,96.57,34,75,4.61,4.61,1701839626
284,tumut,-35.3,148.2167,88.25,20,41,13.31,13.31,1701840226
285,gadzhiyevo,69.2551,33.3362,11.91,80,100,8.79,8.79,1701840227
286,san rafael del sur,11.8485,-86.4384,77.97,74,26,13.69,13.69,1701840227
287,hamilton,39.1834,-84.5333,39.42,91,100,11.5,11.5,1701840149
288,mili,6.0815,171.735,82.44,80,74,22.08,22.08,1701840227
289,severoural'sk,60.1533,59.952,-16.02,92,99,7.09,7.09,1701840228
290,ust-nera,64.5667,143.2,-52.44,98,75,4.07,4.07,1701840228
291,kolonia,50.9333,6.95,37.58,92,100,11.5,11.5,1701839666
292,nieuw nickerie,5.95,-56.9833,78.46,87,34,8.9,8.9,1701840229
